pair,role,topic,domain,id,year,title,n_refs,n_authors,n_institutions,pct,cited_by_count,fwci,ref_age_median,ref_age_mean,ref_share_le3,ref_cross_topic,ref_cross_subfield,ref_cross_field,ref_cross_domain,ref_n_fields,ref_hot_median,ref_fwci_median,n_citers,citers_capped,cd_nok,cd5_nok,s2_influential,s2_method_cites,s2_ref_method_share,has_text,text_chars,pool_ref_age_median,pool_ref_share_le3,pool_ref_hot_median,ref_age_vs_pool,ref_share_le3_vs_pool,ref_hot_vs_pool,atyp_n_pairs,atyp_unscorable,atyp_median_z,atyp_p10_z,atyp_share_novel
8,twin,interferon and immune responses,Life Sciences,W2891229446,2018,Decreased RIG-I expression is associated with poor prognosis and promotes cell invasion in human gastric cancer,24,7,1,0.60723085,24,0.508,5.0,5.46,0.375,0.708,0.583,0.583,0.5,3,107.5,4.38,16,False,-0.625,-0.625,1,1,0.0,False,,7,0.258,166,-2.0,0.117,0.648,15,0,0.325,-0.096,0.067
9,case,Advanced Fiber Laser Technologies,Physical Sciences,W2096325810,2015,Observation of a Localized Flat-Band State in a Photonic Lieb Lattice,32,7,4,0.99859518,664,32.6245,6,7.55,0.323,0.871,0.419,0.258,0.032,4,214,5.73,313,False,-0.872,-0.872,5,14,0.0,True,45488,5.0,0.358,102,1.0,-0.035,2.098,15,6,0.0,-0.632,0.267
9,twin,Advanced Fiber Laser Technologies,Physical Sciences,W2423190257,2015,Compact rubidium-stabilized multi-frequency reference source in the 155-μm region,19,4,1,0.90240081,17,2.5375,8,11.32,0.105,0.579,0.421,0.421,0.0,4,75,3.16,17,False,-0.647,-0.647,0,1,,False,,5.0,0.358,102,3.0,-0.253,0.735,10,0,0.0,-0.374,0.3
10,case,Cervical Cancer and HPV Research,Health Sciences,W2127780961,2011,Cervical cancer risk for women undergoing concurrent testing for human papillomavirus and cervical cytology: a population-based study in routine clinical practice,57,10,8,0.99895582,575,34.1728,3,4.75,0.561,0.088,0.088,0.07,0.07,3,385,18.0,290,False,-0.621,-0.621,23,38,0.0,False,,5.0,0.331,119.0,-2.0,0.23,3.235,6,0,0.026,-0.232,0.333
10,twin,Cervical Cancer and HPV Research,Health Sciences,W2044126692,2011,The Role of p73 G4C14-to-A4T14 Polymorphism in the Susceptibility to Cervical Cancer,52,8,4,0.75127175,21,0.9653,7.0,7.94,0.115,0.731,0.731,0.135,0.135,2,51.5,2.15,8,False,-1.0,-1.0,1,0,,False,,5.0,0.331,119.0,2.0,-0.216,0.433,36,0,0.522,-0.131,0.139
11,case,"Adipokines, Inflammation, and Metabolic Diseases",Health Sciences,W2620991346,2017,Tumor Necrosis Factor‐Alpha: Role in Development of Insulin Resistance and Pathogenesis of Type 2 Diabetes Mellitus,66,3,2,0.9978163,692,23.9946,10.0,9.55,0.152,0.5,0.455,0.364,0.364,5,323.5,11.2,349,False,0.186,0.186,16,1,,False,,8,0.228,172.0,2.0,-0.076,1.881,78,0,0.393,-0.432,0.218
11,twin,"Adipokines, Inflammation, and Metabolic Diseases",Health Sciences,W2772954730,2017,Effects of exergaming on cardiovascular risk factors and adipokine levels in women,58,6,2,0.79056822,24,1.1504,5.0,9.44,0.352,0.87,0.87,0.259,0.167,7,126.5,6.71,12,False,0.0,0.0,0,0,0.0,False,,8,0.228,172.0,-3.0,0.124,0.735,190,41,0.148,-0.653,0.411
12,case,Cerebrospinal fluid and hydrocephalus,Life Sciences,W2837320447,2018,Brain-wide glymphatic enhancement and clearance in humans assessed with MRI,89,8,5,0.9965288,534,15.4454,5,9.54,0.432,0.444,0.432,0.321,0.284,5,314,9.29,294,False,-0.925,-0.925,17,26,0.0,True,67921,8.0,0.246,107,-3.0,0.186,2.935,91,14,0.441,-0.707,0.297
12,twin,Cerebrospinal fluid and hydrocephalus,Life Sciences,W2931736102,2018,A novel view on Alzheimer’s disease pathogenesis: modern conceptof amyloid clearance,23,3,1,0.48653907,13,0.2122,8,10.52,0.13,0.818,0.818,0.636,0.591,4,337,9.5,8,False,0.25,0.25,0,0,0.0,True,29471,8.0,0.246,107,0.0,-0.116,3.15,36,0,1.065,-0.211,0.139
13,case,Health Policy Implementation Science,Health Sciences,W2136608905,2011,The behaviour change wheel: A new method for characterising and designing behaviour change interventions,42,3,3,0.99989715,14126,169.3516,3.5,5.1,0.5,0.829,0.732,0.659,0.39,10,399.0,13.48,853,False,0.292,0.292,,,,False,,6,0.275,195,-2.5,0.225,2.046,171,0,0.841,0.102,0.064
13,twin,Health Policy Implementation Science,Health Sciences,W2035612475,2011,Integrated Healthscape Strategies: An Ecological Approach to Evidence-Based Design,34,4,1,0.83622596,24,1.2097,8,11.09,0.273,0.97,0.818,0.697,0.636,8,399,19.97,9,False,-0.778,-0.778,2,0,,False,,6,0.275,195,2,-0.002,2.046,136,35,0.365,-0.679,0.309
14,case,Insect behavior and control techniques,Life Sciences,W2896933604,2018,Identification and risk assessment of spinosad resistance in a California population of Drosophila suzukii,41,2,1,0.99451243,201,15.5197,7,10.12,0.293,0.561,0.439,0.317,0.098,5,212,8.6,130,False,-0.8,-0.8,8,4,,False,,,,,,,,,,,,
14,twin,Insect behavior and control techniques,Life Sciences,W2899493151,2018,Real‐time PCR assays for rapid detection of Zeugodacus cucumis and Bactrocera jarvisi (Diptera: Tephritidae) for quarantine application,35,6,1,0.60848873,9,0.2097,12,15.85,0.242,0.424,0.303,0.212,0.121,6,50,2.88,3,False,-1.0,-1.0,0,2,,False,,,,,,,,,,,,
